id,hip,hd,hr,gl,bf,proper,ra,dec,dist,pmra,pmdec,rv,mag,absmag,spect,ci,x,y,z,vx,vy,vz,rarad,decrad,pmrarad,pmdecrad,bayer,flam,con,comp,comp_primary,base,lum,var,var_min,var_max
51,51,224774,,,,,0.009561,1.066213,100000.0000,10.19,6.33,0.0,8.940,-11.060,K0,0.906,99982.372691,250.263031,1860.784651,-0.00006946,0.00493966,0.00306807,0.0025030662719979255,0.01860892052616875,0.00000004940251404861111,0.000000030688705,,,Psc,1,51,,2312064.7901755986,,,
52,52,224767,,,,,0.009781,-77.020116,209.6436,21.46,9.91,0.0,8.560,1.953,A4V,0.196,47.087672,0.120720,-204.286993,0.00000976,0.00002183,0.00000226,0.0025605883588886635,-1.3442546196059437,0.00000010404101584722222,0.000000048045035,,,Oct,1,52,,14.41451385758211,,,
53,53,,,,,,0.009828,-29.263414,100000.0000,11.94,-12.96,0.0,10.960,-9.040,,,87237.870108,224.465590,-48882.549384,-0.00308599,0.00578025,-0.00548086,0.0025729495090927607,-0.5107429227787138,0.00000005788675345833333,-0.000000062831853,,,Scl,1,53,,359749.33515574236,,11.03,10.89
54,54,,,,,,0.010170,17.968908,50.2008,367.14,-19.49,0.0,10.570,7.066,M:,1.030,47.752040,0.127177,15.486990,0.00000123,0.00008935,-0.00000451,0.002662462518284427,0.3136166142108725,0.0000017799449467916665,-0.000000094490186,,,Peg,1,54,,0.12989726288978545,,,
55,55,224783,,,,,0.010549,-66.683173,64.9351,162.88,-28.82,0.0,7.400,3.338,G2IV/V,0.551,25.702202,0.071250,-59.631861,-0.00000847,0.00005125,-0.00000359,0.0027616175645752777,-1.1638409295788925,0.000000789664522888889,-0.000000139723302,,,Tuc,1,55,,4.025316189742117,,,
56,56,224785,,,,,0.010862,0.222931,253.8071,39.02,-3.09,0.0,8.120,1.097,K0,1.329,253.804153,0.721721,0.987533,-0.00000012,0.00004801,-0.00000380,0.002843605275108837,0.0038908879185075,0.0000001891742981527778,-0.000000014980742,,,Psc,1,56,,31.71027438947892,,,
57,57,224789,,,,,0.011212,-69.675965,29.8686,-40.97,-67.59,0.0,8.270,5.894,K2V,0.863,10.374188,0.030419,-28.009080,-0.00000916,-0.00000596,-0.00000340,0.0029353970035569184,-1.2160749962487025,-0.00000019862816492361111,-0.000000327685566,,,Tuc,1,57,,0.38229621656591933,,,
58,58,224792,,,,,0.011577,62.175898,38.8048,-46.95,-43.90,16.0,7.050,4.106,G0,0.520,18.112462,0.054853,34.318498,0.00001497,-0.00000879,0.00001062,0.0030307493247985675,1.0851741357094562,-0.00000022762002302083336,-0.000000212833205,,,Cas,1,58,,1.9842664984846423,,,
59,59,236270,,,,,0.011630,55.722460,100000.0000,-0.27,-1.02,-26.0,9.090,-10.910,B5,0.091,56319.956142,171.475741,82631.913264,0.00039401,-0.00012969,-0.00030046,0.003044670546276797,0.9725403957303838,-0.0000000013089969375,-0.000000004945099,,,Cas,1,59,,2013724.2498623894,,9.155,9.035
60,60,224788,,,,,0.011695,-64.465799,172.1170,1.75,10.74,0.0,8.340,2.161,F2IV,0.386,74.190650,0.227164,-155.306013,0.00000808,0.00000148,0.00000386,0.0030617832370948353,-1.1251404463963464,0.000000008484239409722221,0.000000052068989,,,Tuc,1,60,,11.901453387038547,,,
