id,hip,hd,hr,gl,bf,proper,ra,dec,dist,pmra,pmdec,rv,mag,absmag,spect,ci,x,y,z,vx,vy,vz,rarad,decrad,pmrarad,pmdecrad,bayer,flam,con,comp,comp_primary,base,lum,var,var_min,var_max
113,113,224881,,,,,0.024375,49.010406,100000.0000,-0.29,-1.97,0.0,8.930,-11.070,A0,0.021,65590.859465,418.558353,75482.871988,0.00072174,-0.00013598,-0.00062641,0.006381271697852856,0.8553929514302462,-0.0000000014059596736111113,-0.000000009550829,,,Cas,1,113,,2333458.0622810046,,,
114,114,224882,,,,,0.024777,30.735785,117.7856,-10.28,-38.64,-11.0,7.950,2.595,G0IV,0.654,101.238423,0.656689,60.197798,0.00000164,-0.00000586,-0.00002471,0.006486532910094341,0.5364406518449475,-0.00000004983884636111111,-0.000000187332006,,,Peg,1,114,,7.979946872679767,,,
115,115,224878,,,,,0.024839,-62.923130,258.3979,-2.22,11.18,0.0,7.460,0.399,A2IV,0.160,117.616488,0.764850,-230.076621,0.00001249,-0.00000270,0.00000637,0.006502941824942553,-1.0982157997310213,-0.000000010762863708333332,0.000000054202169,,,Tuc,1,115,,60.311481961781745,,,
116,116,224886,,,,,0.025022,-33.792771,125.3133,-23.88,-27.41,0.0,8.600,3.110,F3V,0.435,104.139967,0.682192,-69.698100,-0.00000917,-0.00001457,-0.00001384,0.006550829981814479,-0.5897951167650037,-0.00000011577350691666666,-0.000000132887429,,,Scl,1,116,,4.96592321450336,,,
117,117,224879,,,,,0.025363,-72.605899,934.5794,18.26,1.70,0.0,8.550,-1.303,G8III,1.093,279.379379,1.855655,-891.842124,0.00000680,0.00008278,0.00000230,0.006640147611058108,-1.26721199788397,0.00000008852697806944445,0.000000008241832,,,Tuc,1,117,,289.20113962154875,,,
118,118,224883,,,,,0.025773,-9.430033,77.6398,44.38,1.14,0.0,9.200,4.750,G0,0.606,76.588865,0.516780,-12.720744,-0.00000004,0.00001670,0.00000042,0.006747329652725017,-0.16458512863984376,0.00000021516031143055555,0.000000005526875,,,Cet,1,118,,1.0964781961431846,,,
119,119,224894,,,,,0.026012,44.675401,155.5210,-10.61,-18.37,0.0,6.820,0.861,K0,1.071,110.588637,0.753085,109.345178,0.00000979,-0.00000793,-0.00000985,0.006809862911099315,0.7797328437226113,-0.000000051438731506944446,-0.000000089060273,,,And,1,119,,39.409416073228584,,,
120,120,224902,,,,,0.026396,-45.344759,413.2231,-19.71,-28.68,0.0,8.290,0.209,K1IIICNIV,1.183,290.422468,2.006886,-293.945731,-0.00004059,-0.00003976,-0.00004038,0.006910473878206172,-0.7914153376399262,-0.0000000955567764375,-0.000000139044563,,,Phe,1,120,,71.84557087925968,,,
121,121,224895,,,,,0.026429,28.423691,226.2443,-18.88,-34.10,-11.4,6.830,0.057,K2III,1.197,198.966112,1.376651,107.689500,0.00000769,-0.00002065,-0.00003844,0.006919022087799723,0.49608699743718127,-0.00000009153282288888889,-0.000000165321465,,,Peg,1,121,,82.64184417157952,,,
122,122,224889,9084,,The Oct,,0.026616,-77.065724,66.5779,-56.52,-176.95,24.0,4.780,0.663,K2III,1.254,14.902031,0.103716,-64.888859,-0.00005004,-0.00001859,-0.00003671,0.0069680833539428125,-1.3450506304308112,-0.00000027401669224999995,-0.000000857877807,The,,Oct,1,122,,47.293341491865164,,,
123,123,224891,,,,,0.026675,72.236615,169.2047,-44.73,3.74,-12.9,7.210,1.068,K0,1.169,51.620824,0.360284,161.137680,-0.00000669,-0.00003674,-0.00001163,0.006983626499856016,1.2607667756552712,-0.0000002168571593125,0.000000018132031,,,Cep,1,123,,32.568668220166984,,,
124,124,224893,9085,,,,0.026949,61.222801,943.3962,-2.80,-1.34,-23.0,5.580,-4.293,F0III,0.407,454.144163,3.204116,826.885007,-0.00000586,-0.00001285,-0.00002357,0.007055293220648263,1.0685394491555988,-0.000000013574783055555555,-0.000000006496503,,,Cas,1,124,,4541.507126325551,,,
125,125,224900,,,,,0.026979,-39.336748,222.2222,-19.57,-28.13,0.0,8.700,1.966,F2V,0.366,171.869877,1.213907,-140.861556,-0.00001906,-0.00002122,-0.00002344,0.007063068817173759,-0.68655577330827,-0.00000009487803728472222,-0.000000136378088,,,Phe,1,125,,14.242951649732898,,,
126,126,224896,,,,,0.027255,14.632324,300.3003,37.26,7.11,0.0,8.060,0.672,G5,0.969,290.553207,2.073240,75.860439,-0.00000300,0.00005422,0.00001001,0.007135317613802031,0.255382230614705,0.00000018064157737500003,0.000000034470252,,,Peg,1,126,,46.90293284059376,,,
127,127,,,,,,0.027479,-48.935619,84.8176,42.86,-188.26,0.0,10.860,6.218,,0.942,55.715803,0.400884,-63.950089,-0.00005849,0.00001720,-0.00005085,0.007194101172505503,-0.8540876762145562,0.00000020779114348611112,-0.000000912710235,,,Phe,1,127,,0.2836612419312515,,10.93,10.77
128,128,224890,,,,,0.027597,73.611846,70.7714,75.54,-12.36,-8.0,6.500,2.251,Am...,0.182,19.967120,0.144423,67.896054,0.00000157,0.00002593,-0.00000905,0.007224759497225053,1.2847690896740125,0.00000036622825429166673,-0.00000005992297,,,Cep,1,128,,10.95468767333996,,,
129,129,224897,,,,,0.027708,5.372808,167.2241,5.33,23.58,0.0,9.320,3.204,F8,0.559,166.485023,1.207680,15.658167,-0.00000182,0.00000431,0.00001903,0.007253854104980269,0.09377319329181875,0.00000002584056917361111,0.000000114319065,,,Psc,1,129,,4.55407312683254,,,
130,130,224913,,,,,0.027886,-30.692537,305.8104,16.06,-12.27,0.0,9.140,1.713,K0III,1.080,262.965094,1.919858,-156.095081,-0.00000946,0.00002374,-0.00001564,0.007300566284424601,-0.5356858225080825,0.00000007786107709722222,-0.000000059486638,,,Scl,1,130,,17.98042695177437,,,
131,131,224892,,,,,0.027994,62.018087,125.1564,-14.27,-26.03,1.0,8.130,2.643,A4V,0.200,58.720910,0.430319,110.525093,0.00001449,-0.00000855,-0.00000651,0.007328766649518116,1.0824198187762413,-0.00000006918291221527778,-0.000000126197001,,,Cas,1,131,,7.634841051830966,,,
132,132,,,,,,0.028135,-34.653545,476.1905,5.38,-15.37,0.0,10.620,2.231,F0,0.358,391.706221,2.885224,-270.767989,-0.00002027,0.00001227,-0.00002919,0.007365605226040121,-0.6048184600137925,0.00000002608297601388889,-0.000000074515862,,,Scl,1,132,,11.158350522886675,,10.668,10.558
133,133,224914,,,,,0.028230,-40.148702,208.7683,33.70,-14.84,-8.4,6.620,0.022,F5IV,0.545,159.572564,1.179430,-134.608237,-0.00001650,0.00003399,-0.00000594,0.007390609594340539,-0.7007270395305625,0.00000016338221034722223,-0.00000007194635,,,Phe,1,133,,85.34930716135483,,,
134,134,224909,,,,,0.028346,-1.139960,862.0690,23.15,5.09,0.0,9.960,0.282,A0,0.264,861.874646,6.396161,-17.150637,-0.00000029,0.00009675,0.00002127,0.0074210830507116755,-0.019896051076109998,0.00000011223436704861111,0.000000024677016,,,Psc,1,134,,67.17381285473806,,,
135,135,224908,,,,,0.028453,-0.217777,50.0751,20.73,-114.08,0.0,8.640,5.142,G5,0.620,50.073349,0.373003,-0.190331,-0.00000014,0.00000503,-0.00002769,0.007448998391414817,-0.0038009204101525002,0.00000010050187597916668,-0.000000553075446,,,Psc,1,135,,0.7641876239634672,,,
136,136,224907,,,,,0.028579,24.253113,180.5054,18.50,-28.01,0.0,6.600,0.318,K2III-IV,1.153,164.569338,1.231343,74.145911,0.00000995,0.00001626,-0.00002235,0.007482002792145399,0.42329666978227876,0.00000008969053090277777,-0.000000135796311,,,Peg,1,136,,64.9830363484238,,,
137,137,224906,9086,,,,0.028847,42.367144,374.5318,5.11,-1.77,-11.0,6.250,-1.617,B9IIIp Mn,-0.042,276.711822,2.089808,252.388978,-0.00000622,0.00000923,-0.00000996,0.007552068772316919,0.7394461549144825,0.00000002477397907638889,-0.000000008581202,,,And,1,137,,386.18908944898993,,,
138,138,224910,,,,,0.029162,-16.531661,165.0165,94.80,24.68,0.0,7.830,1.742,K0/K1IV,1.074,158.190543,1.207783,-46.954642,0.00000504,0.00007588,0.00001893,0.007634666529480209,-0.28853191804485995,0.0000004596033691666666,0.000000119652016,,,Cet,1,138,,17.506527083833703,,,
139,139,,,,,,0.029686,67.506975,418.4100,-3.60,-0.44,0.0,10.030,1.922,B0,1.289,160.066682,1.243970,386.579925,0.00000088,-0.00000730,-0.00000034,0.0077716652836906245,1.178218982334675,-0.0000000174532925,-0.00000000213318,,,Cep,1,139,,14.832009671818742,V747,10.139,9.979
140,140,224915,,,,,0.030195,-68.104897,111.9821,100.92,-35.54,0.0,9.040,3.794,F7V,0.546,41.757767,0.330400,-103.904622,-0.00001833,0.00005464,-0.00000719,0.007904944147206147,-1.1886546956493425,0.0000004892739664166667,-0.000000172302782,,,Tuc,1,140,,2.6448436268543603,,,
141,141,224921,,,,,0.030232,36.350358,231.4815,21.36,5.19,0.0,8.470,1.647,K5,1.350,186.431129,1.475627,137.204014,-0.00000364,0.00002394,0.00000469,0.007914748116768958,0.6344334341660125,0.00000010355620216666667,0.00000002516183,,,And,1,141,,19.107329810428727,,,
